iter	Passed	Remaining
0	49	49341
1	49	24791
2	49	16591
3	50	12497
4	50	10048
5	50	8405
6	50	7234
7	51	6352
8	51	5667
9	51	5120
10	52	4726
11	52	4352
12	53	4033
13	53	3759
14	53	3522
15	53	3312
16	54	3130
17	54	2967
18	54	2820
19	54	2688
20	55	2568
21	55	2460
22	55	2361
23	55	2270
24	56	2186
25	56	2109
26	56	2037
27	56	1971
28	57	1908
29	57	1850
30	57	1797
31	57	1746
32	57	1699
33	58	1654
34	58	1611
35	58	1572
36	58	1535
37	59	1499
38	59	1465
39	59	1433
40	60	1403
41	60	1374
42	60	1346
43	60	1319
44	60	1294
45	61	1269
46	61	1246
47	61	1223
48	61	1202
49	62	1181
50	62	1161
51	62	1142
52	62	1124
53	63	1106
54	63	1088
55	63	1072
56	63	1056
57	64	1040
58	64	1026
59	64	1012
60	64	998
61	65	984
62	65	971
63	65	958
64	65	946
65	66	935
66	66	923
67	66	912
68	66	901
69	67	891
70	67	881
71	67	872
72	67	863
73	68	854
74	68	845
75	68	836
76	69	828
77	69	819
78	69	811
79	69	803
80	70	796
81	70	788
82	70	779
83	70	771
84	71	764
85	71	757
86	71	750
87	71	743
88	71	736
89	72	730
90	72	724
91	72	718
92	72	711
93	73	706
94	73	700
95	73	694
96	74	688
97	74	683
98	74	677
99	74	672
100	74	667
101	75	661
102	75	656
103	75	651
104	75	646
105	76	642
106	76	637
107	76	632
108	76	628
109	77	623
110	77	619
111	77	615
112	77	610
113	78	606
114	78	602
115	78	598
116	78	594
117	79	590
118	79	586
119	79	582
120	79	579
121	79	575
122	80	571
123	80	568
124	80	565
125	80	561
126	81	557
127	81	554
128	81	551
129	81	548
130	82	545
131	83	549
132	83	547
133	84	544
134	84	541
135	84	538
136	85	535
137	85	532
138	85	530
139	85	527
140	86	524
141	86	521
142	86	518
143	86	515
144	87	513
145	87	510
146	87	507
147	87	505
148	88	502
149	88	500
150	88	497
151	88	496
152	89	493
153	89	491
154	89	489
155	89	486
156	90	484
157	90	482
158	90	479
159	90	477
160	91	474
161	91	472
162	91	470
163	91	468
164	92	466
165	92	464
166	92	463
167	93	460
168	93	458
169	93	456
170	93	454
171	94	452
172	94	451
173	94	449
174	94	447
175	95	445
176	95	443
177	95	441
178	95	439
179	96	437
180	96	435
181	96	434
182	96	432
183	97	430
184	97	428
185	97	427
186	98	427
187	98	427
188	99	425
189	99	424
190	99	422
191	100	420
192	100	419
193	100	417
194	100	416
195	101	414
196	101	412
197	101	411
198	101	409
199	101	407
200	102	406
201	102	404
202	102	403
203	102	401
204	103	400
205	103	399
206	103	397
207	104	396
208	104	394
209	104	393
210	104	392
211	105	390
212	105	389
213	105	388
214	105	386
215	106	385
216	106	384
217	106	382
218	106	381
219	107	380
220	107	378
221	107	377
222	107	376
223	108	374
224	108	373
225	108	372
226	108	371
227	109	369
228	109	368
229	109	367
230	109	366
231	110	364
232	110	363
233	110	362
234	110	361
235	111	360
236	111	358
237	111	357
238	112	356
239	112	355
240	112	354
241	112	353
242	113	352
243	113	351
244	113	350
245	113	349
246	114	347
247	114	346
248	114	345
249	114	344
250	115	343
251	115	342
252	115	341
253	115	340
254	116	339
255	116	338
256	116	337
257	116	336
258	117	335
259	117	334
260	117	333
261	117	332
262	118	331
263	118	330
264	118	329
265	118	328
266	119	327
267	119	326
268	119	325
269	120	324
270	120	323
271	120	322
272	120	321
273	121	320
274	121	319
275	121	318
276	121	318
277	122	317
278	122	316
279	122	315
280	122	314
281	123	313
282	123	312
283	123	311
284	123	310
285	124	309
286	124	308
287	124	307
288	124	307
289	125	306
290	125	305
291	125	304
292	126	304
293	126	303
294	126	302
295	126	301
296	127	300
297	127	300
298	127	299
